역명,날짜,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,00~01,01~02
서울역(150),2016-06-01,승차,521 ,538 ,"2,111 ","3,391 ","2,454 ","2,385 ","2,821 ","3,036 ","2,972 ","2,458 ","3,399 ","3,764 ","5,060 ","9,536 ","5,169 ","3,393 ","3,820 ","2,440 ","1,355 ",202 ,0 
서울역(150),2016-06-01,하차,355 ,"1,884 ","5,611 ","11,273 ","4,688 ","2,964 ","2,520 ","2,402 ","2,401 ","2,398 ","2,397 ","2,605 ","2,725 ","3,361 ","2,380 ","1,674 ","1,631 ","1,579 ",844 ,287 ,20 
서울역(150),2016-06-02,승차,535 ,548 ,"1,946 ","3,446 ","2,636 ","2,481 ","2,926 ","3,070 ","3,058 ","2,641 ","3,527 ","3,739 ","5,172 ","9,529 ","5,559 ","3,629 ","4,001 ","2,721 ","1,503 ",244 ,0 
서울역(150),2016-06-02,하차,350 ,"1,823 ","5,278 ","11,206 ","4,891 ","3,102 ","2,460 ","2,344 ","2,539 ","2,499 ","2,602 ","2,682 ","3,018 ","3,453 ","2,576 ","1,864 ","1,780 ","1,694 ",874 ,335 ,23 
서울역(150),2016-06-03,승차,480 ,529 ,"1,879 ","3,418 ","2,620 ","2,469 ","3,064 ","3,414 ","3,694 ","3,095 ","4,564 ","4,897 ","6,166 ","11,148 ","6,334 ","4,094 ","4,382 ","4,607 ","2,220 ",372 ,0 
서울역(150),2016-06-03,하차,305 ,"1,841 ","5,064 ","10,285 ","5,290 ","3,198 ","2,614 ","2,891 ","3,169 ","3,254 ","3,562 ","3,744 ","3,724 ","5,272 ","3,908 ","2,400 ","2,270 ","2,164 ","1,152 ",473 ,70 
서울역(150),2016-06-04,승차,642 ,491 ,994 ,"2,291 ","3,073 ","3,063 ","4,275 ","5,173 ","4,741 ","3,959 ","5,442 ","4,739 ","4,378 ","4,349 ","3,312 ","2,942 ","3,040 ","2,815 ","1,266 ",59 ,0 
서울역(150),2016-06-04,하차,347 ,"2,400 ","2,612 ","3,095 ","3,804 ","3,579 ","3,164 ","4,347 ","4,078 ","3,956 ","4,230 ","4,054 ","3,766 ","3,538 ","2,924 ","2,254 ","2,118 ","1,734 ","1,048 ",271 ,0 
서울역(150),2016-06-05,승차,384 ,398 ,643 ,"1,332 ","2,116 ","2,537 ","3,195 ","3,608 ","3,332 ","2,945 ","3,823 ","3,813 ","3,503 ","3,985 ","3,353 ","2,692 ","3,333 ","3,363 ","1,366 ",43 ,0 
서울역(150),2016-06-05,하차,225 ,"1,375 ","1,602 ","2,208 ","2,575 ","2,591 ","2,055 ","2,622 ","2,634 ","2,808 ","3,032 ","3,164 ","2,867 ","2,883 ","2,507 ","1,926 ","1,751 ","1,271 ",745 ,227 ,0 
서울역(150),2016-06-06,승차,479 ,380 ,749 ,"1,643 ","2,243 ","2,354 ","3,506 ","3,696 ","4,099 ","3,347 ","4,934 ","4,719 ","4,265 ","4,473 ","3,262 ","2,675 ","3,515 ","3,422 ","1,152 ",32 ,0 
서울역(150),2016-06-06,하차,225 ,"1,255 ","1,351 ","2,022 ","2,377 ","2,875 ","2,894 ","2,896 ","3,128 ","3,414 ","3,197 ","3,357 ","2,976 ","3,211 ","2,108 ","1,902 ","1,678 ","1,245 ",666 ,172 ,0 
서울역(150),2016-06-07,승차,566 ,617 ,"3,085 ","4,222 ","2,574 ","2,438 ","3,345 ","3,476 ","3,317 ","2,615 ","3,776 ","3,644 ","4,662 ","9,121 ","5,601 ","3,682 ","3,715 ","2,505 ","1,378 ",220 ,0 
서울역(150),2016-06-07,하차,476 ,"2,577 ","6,023 ","10,253 ","4,914 ","2,736 ","2,403 ","2,444 ","2,547 ","2,438 ","2,387 ","2,481 ","2,624 ","2,949 ","2,382 ","1,704 ","1,579 ","1,340 ",704 ,266 ,17 
서울역(150),2016-06-08,승차,494 ,559 ,"2,024 ","3,711 ","2,622 ","2,460 ","2,816 ","3,218 ","3,151 ","2,635 ","3,656 ","3,802 ","5,340 ","9,417 ","5,459 ","3,646 ","3,764 ","2,565 ","1,347 ",197 ,0 
서울역(150),2016-06-08,하차,371 ,"1,901 ","5,524 ","10,899 ","5,207 ","2,879 ","2,454 ","2,418 ","2,489 ","2,361 ","2,552 ","2,790 ","2,816 ","3,398 ","2,387 ","1,845 ","1,666 ","1,527 ",909 ,338 ,27 
서울역(150),2016-06-09,승차,510 ,585 ,"2,104 ","3,765 ","2,607 ","2,510 ","2,920 ","3,314 ","3,197 ","2,699 ","3,777 ","3,886 ","5,152 ","9,335 ","5,652 ","3,864 ","4,252 ","2,845 ","1,678 ",276 ,0 
서울역(150),2016-06-09,하차,321 ,"2,035 ","5,599 ","10,852 ","4,835 ","2,906 ","2,424 ","2,466 ","2,647 ","2,605 ","2,566 ","2,845 ","2,946 ","3,567 ","2,421 ","1,874 ","1,756 ","1,689 ",902 ,349 ,24 
서울역(150),2016-06-10,승차,469 ,554 ,"2,013 ","3,373 ","2,717 ","2,582 ","3,126 ","3,639 ","3,742 ","2,959 ","4,775 ","4,959 ","6,049 ","11,107 ","6,140 ","4,184 ","4,666 ","4,504 ","2,214 ",297 ,0 
서울역(150),2016-06-10,하차,315 ,"1,803 ","5,417 ","10,438 ","4,991 ","2,926 ","2,696 ","2,612 ","2,900 ","2,764 ","3,405 ","3,348 ","3,650 ","4,958 ","3,690 ","2,481 ","2,067 ","2,040 ","1,121 ",462 ,32 
서울역(150),2016-06-11,승차,549 ,477 ,"1,002 ","2,160 ","3,119 ","3,254 ","4,143 ","4,865 ","4,944 ","3,776 ","4,915 ","4,571 ","4,774 ","4,405 ","3,525 ","2,933 ","3,147 ","2,992 ","1,333 ",72 ,0 
서울역(150),2016-06-11,하차,288 ,"1,834 ","2,299 ","2,758 ","3,666 ","3,386 ","2,990 ","3,359 ","3,404 ","3,677 ","3,966 ","3,825 ","3,781 ","3,708 ","2,945 ","2,235 ","2,066 ","1,901 ",937 ,256 ,0 
서울역(150),2016-06-12,승차,369 ,369 ,632 ,"1,307 ","1,658 ","2,100 ","3,090 ","3,254 ","2,876 ","2,729 ","4,022 ","3,921 ","3,727 ","3,517 ","3,138 ","2,615 ","2,873 ","2,856 ",833 ,36 ,0 
서울역(150),2016-06-12,하차,195 ,837 ,"1,225 ","1,428 ","1,993 ","2,025 ","1,889 ","2,190 ","2,254 ","2,765 ","2,964 ","3,023 ","3,025 ","2,867 ","2,443 ","1,995 ","1,663 ","1,275 ",553 ,176 ,0 
서울역(150),2016-06-13,승차,557 ,624 ,"2,860 ","3,953 ","2,593 ","2,522 ","3,013 ","3,481 ","3,314 ","2,873 ","3,923 ","3,991 ","4,773 ","9,262 ","5,552 ","3,622 ","3,517 ","2,553 ","1,279 ",165 ,0 
서울역(150),2016-06-13,하차,457 ,"2,737 ","5,912 ","11,073 ","4,937 ","3,062 ","2,717 ","3,222 ","2,849 ","2,493 ","2,510 ","2,682 ","2,801 ","3,284 ","2,469 ","1,721 ","1,564 ","1,380 ",703 ,253 ,18 
서울역(150),2016-06-14,승차,514 ,595 ,"2,073 ","3,461 ","2,315 ","2,441 ","2,947 ","3,281 ","3,168 ","2,979 ","3,574 ","3,816 ","5,190 ","9,335 ","5,451 ","3,666 ","3,733 ","2,375 ","1,301 ",197 ,0 
서울역(150),2016-06-14,하차,366 ,"1,919 ","5,678 ","10,731 ","4,910 ","2,957 ","2,519 ","2,460 ","2,859 ","2,556 ","2,503 ","2,719 ","2,844 ","3,281 ","2,390 ","1,813 ","1,558 ","1,435 ",677 ,235 ,14 
서울역(150),2016-06-15,승차,472 ,569 ,"1,950 ","3,464 ","2,460 ","2,378 ","2,728 ","3,238 ","3,199 ","2,718 ","3,551 ","3,743 ","5,388 ","9,790 ","5,057 ","3,309 ","3,663 ","2,356 ","1,375 ",205 ,0 
서울역(150),2016-06-15,하차,307 ,"1,817 ","5,033 ","11,001 ","5,082 ","2,964 ","2,361 ","2,480 ","2,594 ","2,405 ","2,608 ","2,787 ","2,789 ","3,325 ","2,207 ","1,670 ","1,432 ","1,405 ",741 ,239 ,26 
서울역(150),2016-06-16,승차,485 ,568 ,"1,925 ","3,568 ","2,501 ","2,446 ","2,868 ","3,200 ","3,251 ","2,855 ","3,587 ","3,778 ","5,102 ","9,465 ","5,417 ","3,756 ","4,088 ","2,734 ","1,494 ",257 ,0 
서울역(150),2016-06-16,하차,303 ,"1,954 ","5,293 ","11,045 ","4,920 ","3,119 ","2,404 ","2,495 ","2,690 ","2,524 ","2,679 ","2,916 ","2,838 ","3,551 ","2,479 ","1,845 ","1,799 ","1,545 ",841 ,355 ,25 
서울역(150),2016-06-17,승차,501 ,538 ,"1,903 ","3,527 ","2,420 ","2,506 ","2,943 ","3,566 ","3,657 ","3,063 ","4,753 ","4,945 ","6,334 ","10,968 ","6,016 ","4,202 ","4,638 ","4,079 ","2,317 ",343 ,0 
서울역(150),2016-06-17,하차,344 ,"1,824 ","5,228 ","10,360 ","5,143 ","3,000 ","2,744 ","2,770 ","3,127 ","3,139 ","3,505 ","3,893 ","3,759 ","4,913 ","3,656 ","2,496 ","2,048 ","2,014 ","1,019 ",451 ,50 
서울역(150),2016-06-18,승차,581 ,427 ,919 ,"2,100 ","2,978 ","3,003 ","4,117 ","4,814 ","5,201 ","3,598 ","5,082 ","4,719 ","4,846 ","4,285 ","3,458 ","2,773 ","3,232 ","2,980 ","1,170 ",76 ,0 
서울역(150),2016-06-18,하차,318 ,"1,824 ","2,215 ","2,779 ","3,616 ","3,603 ","3,291 ","3,473 ","3,466 ","3,560 ","3,853 ","4,015 ","3,672 ","3,254 ","2,712 ","2,097 ","2,153 ","1,947 ",964 ,343 ,0 
서울역(150),2016-06-19,승차,416 ,323 ,632 ,"1,287 ","1,745 ","2,224 ","2,852 ","3,185 ","3,307 ","2,722 ","4,492 ","4,067 ","3,982 ","3,595 ","3,308 ","2,562 ","3,236 ","3,283 ","1,289 ",42 ,0 
서울역(150),2016-06-19,하차,168 ,804 ,"1,229 ","1,446 ","2,130 ","1,948 ","2,126 ","2,394 ","2,742 ","2,855 ","3,287 ","3,196 ","2,970 ","2,970 ","2,586 ","2,082 ","1,786 ","1,413 ",586 ,122 ,0 
서울역(150),2016-06-20,승차,569 ,658 ,"2,759 ","4,079 ","2,661 ","2,537 ","3,271 ","3,618 ","3,256 ","2,965 ","3,760 ","3,694 ","5,081 ","9,065 ","5,690 ","3,490 ","3,882 ","2,285 ","1,381 ",207 ,0 
서울역(150),2016-06-20,하차,431 ,"2,712 ","6,104 ","10,644 ","4,965 ","2,985 ","2,686 ","2,533 ","2,776 ","2,670 ","2,742 ","2,903 ","2,854 ","3,240 ","2,459 ","1,646 ","1,528 ","1,321 ",745 ,241 ,26 
서울역(150),2016-06-21,승차,480 ,555 ,"1,971 ","3,490 ","2,496 ","2,504 ","3,044 ","3,545 ","3,321 ","2,857 ","3,853 ","4,032 ","5,208 ","9,677 ","5,553 ","3,644 ","3,822 ","2,637 ","1,429 ",215 ,0 
서울역(150),2016-06-21,하차,352 ,"1,916 ","5,426 ","10,751 ","4,844 ","2,835 ","2,505 ","2,664 ","2,647 ","2,731 ","2,999 ","2,844 ","2,954 ","3,266 ","2,547 ","1,843 ","1,649 ","1,530 ",804 ,285 ,25 
서울역(150),2016-06-22,승차,477 ,513 ,"1,881 ","3,448 ","2,695 ","2,565 ","3,143 ","3,396 ","3,488 ","3,025 ","4,106 ","4,330 ","5,633 ","10,499 ","5,306 ","3,481 ","3,617 ","2,489 ","1,407 ",239 ,0 
서울역(150),2016-06-22,하차,342 ,"1,832 ","5,520 ","10,915 ","5,054 ","2,999 ","2,474 ","2,802 ","2,930 ","3,000 ","2,993 ","3,048 ","2,979 ","3,541 ","2,414 ","1,677 ","1,547 ","1,475 ",739 ,314 ,22 
서울역(150),2016-06-23,승차,506 ,548 ,"2,050 ","3,469 ","2,614 ","2,523 ","2,963 ","3,694 ","3,431 ","3,219 ","4,082 ","4,299 ","5,544 ","9,813 ","5,577 ","3,897 ","4,211 ","3,068 ","1,507 ",266 ,0 
서울역(150),2016-06-23,하차,329 ,"2,037 ","5,383 ","10,957 ","5,160 ","3,050 ","2,638 ","2,672 ","3,033 ","2,672 ","3,073 ","3,259 ","3,108 ","3,583 ","2,897 ","1,925 ","1,807 ","1,523 ",814 ,302 ,15 
서울역(150),2016-06-24,승차,440 ,517 ,"1,811 ","3,206 ","2,657 ","2,423 ","3,109 ","4,011 ","4,013 ","3,476 ","5,473 ","5,711 ","6,864 ","11,613 ","6,668 ","4,409 ","5,031 ","4,793 ","2,264 ",353 ,0 
서울역(150),2016-06-24,하차,312 ,"1,675 ","5,088 ","10,412 ","5,064 ","3,056 ","2,745 ","2,991 ","3,492 ","3,483 ","3,681 ","3,939 ","3,683 ","5,102 ","3,952 ","2,349 ","2,144 ","1,866 ",968 ,429 ,35 
서울역(150),2016-06-25,승차,644 ,514 ,"2,597 ","3,003 ","3,015 ","3,031 ","4,139 ","5,246 ","5,344 ","4,036 ","5,682 ","5,210 ","5,520 ","4,831 ","3,729 ","2,898 ","3,255 ","2,928 ","1,345 ",49 ,0 
서울역(150),2016-06-25,하차,287 ,"1,846 ","2,174 ","2,872 ","3,886 ","3,570 ","3,278 ","4,867 ","4,413 ","4,230 ","4,315 ","4,409 ","4,333 ","3,871 ","2,856 ","2,245 ","2,038 ","1,876 ","1,028 ",281 ,0 
서울역(150),2016-06-26,승차,395 ,333 ,602 ,"1,340 ","1,697 ","2,188 ","3,010 ","3,307 ","3,486 ","3,048 ","4,716 ","4,774 ","4,128 ","4,100 ","3,535 ","2,763 ","3,373 ","3,201 ","1,179 ",34 ,0 
서울역(150),2016-06-26,하차,168 ,986 ,"1,178 ","1,424 ","2,054 ","2,291 ","1,961 ","2,639 ","3,053 ","3,248 ","3,679 ","3,709 ","3,425 ","3,328 ","2,607 ","2,152 ","1,805 ","1,313 ",644 ,147 ,0 
서울역(150),2016-06-27,승차,567 ,634 ,"2,849 ","3,994 ","2,608 ","2,406 ","3,280 ","3,529 ","3,380 ","2,853 ","3,830 ","3,754 ","5,124 ","9,434 ","5,649 ","3,796 ","3,652 ","2,611 ","1,281 ",214 ,0 
서울역(150),2016-06-27,하차,421 ,"2,564 ","6,057 ","10,785 ","4,987 ","3,043 ","2,655 ","2,474 ","2,877 ","2,674 ","2,755 ","2,725 ","2,833 ","3,211 ","2,444 ","1,736 ","1,582 ","1,427 ",673 ,270 ,13 
서울역(150),2016-06-28,승차,531 ,601 ,"1,751 ","3,306 ","2,962 ","2,471 ","3,027 ","3,518 ","3,255 ","2,796 ","3,626 ","3,896 ","5,175 ","9,371 ","5,434 ","3,766 ","4,012 ","2,796 ","1,359 ",211 ,0 
서울역(150),2016-06-28,하차,398 ,"1,899 ","5,452 ","10,916 ","5,070 ","2,973 ","2,509 ","2,701 ","2,607 ","2,668 ","2,812 ","2,771 ","2,809 ","3,359 ","2,399 ","1,829 ","1,657 ","1,448 ",672 ,301 ,18 
서울역(150),2016-06-29,승차,500 ,572 ,"1,969 ","3,335 ","2,485 ","2,346 ","2,921 ","3,325 ","3,359 ","2,678 ","3,716 ","4,178 ","5,550 ","9,524 ","5,209 ","3,638 ","3,682 ","2,557 ","1,349 ",233 ,0 
서울역(150),2016-06-29,하차,357 ,"1,759 ","5,284 ","10,761 ","4,808 ","2,857 ","2,387 ","2,631 ","2,817 ","2,558 ","2,620 ","2,836 ","3,180 ","3,172 ","2,368 ","1,688 ","1,502 ","1,524 ",772 ,314 ,24 
서울역(150),2016-06-30,승차,493 ,551 ,"1,823 ","3,356 ","2,413 ","2,293 ","2,813 ","3,476 ","3,349 ","2,803 ","3,928 ","3,874 ","5,050 ","8,997 ","5,445 ","3,766 ","4,011 ","2,852 ","1,585 ",271 ,0 
서울역(150),2016-06-30,하차,304 ,"1,851 ","5,075 ","10,556 ","4,850 ","3,097 ","2,505 ","2,466 ","2,828 ","2,540 ","2,757 ","2,929 ","3,001 ","3,426 ","2,538 ","1,807 ","1,630 ","1,520 ",772 ,331 ,22 
시청(151),2016-06-01,승차,90 ,151 ,300 ,430 ,472 ,829 ,874 ,827 ,"1,021 ","1,252 ","1,704 ","1,943 ","2,545 ","6,257 ","3,218 ","2,379 ","2,353 ","1,595 ",718 ,39 ,0 
시청(151),2016-06-01,하차,200 ,922 ,"3,842 ","8,568 ","3,236 ","1,709 ","1,541 ","1,172 ","1,442 ","1,181 ",911 ,887 ,976 ,"1,120 ",665 ,300 ,227 ,210 ,108 ,46 ,0 
시청(151),2016-06-02,승차,85 ,146 ,310 ,370 ,456 ,595 ,832 ,796 ,"1,098 ","1,305 ","1,581 ","1,892 ","2,459 ","5,629 ","3,149 ","2,560 ","2,726 ","1,862 ",715 ,46 ,0 
시청(151),2016-06-02,하차,204 ,879 ,"3,727 ","8,737 ","3,063 ","1,664 ","1,431 ","1,160 ","1,284 ","1,199 ","1,007 ",841 ,948 ,"1,169 ",671 ,345 ,263 ,210 ,122 ,37 ,0 
시청(151),2016-06-03,승차,100 ,143 ,314 ,391 ,516 ,632 ,"1,063 ","1,090 ","1,256 ","1,469 ","1,873 ","1,962 ","2,791 ","6,283 ","3,286 ","2,240 ","2,173 ","1,681 ",739 ,50 ,0 
시청(151),2016-06-03,하차,207 ,826 ,"3,738 ","8,160 ","3,522 ","1,806 ","1,475 ","1,238 ","1,535 ","1,285 ","1,136 ","1,078 ",956 ,"1,235 ",889 ,369 ,326 ,284 ,163 ,82 ,0 
